,PARALLELLOGDEPTH
45_wine,0.8890756302521009
14_glass,0.5468834688346884
21_Lymphography,0.982394366197183
40_vowels,0.684452347083926
29_Pima,0.6118582089552238
4_breastw,0.9730200912209279
38_thyroid,0.8353047082102137
2_annthyroid,0.5420702182577808
28_pendigits,0.9341903256112372
