,PARALLELGPDEPTH
45_wine,0.992436974789916
14_glass,0.8639566395663956
21_Lymphography,0.9917840375586855
40_vowels,0.9020625889046942
29_Pima,0.6122238805970149
4_breastw,0.9692600550341136
