,PARALLELRFDEPTH
45_wine,0.6294117647058823
14_glass,0.5577235772357724
21_Lymphography,0.9964788732394366
40_vowels,0.6634992887624467
29_Pima,0.5849253731343282
4_breastw,0.9721908100569189
38_thyroid,0.9706558876740115
2_annthyroid,0.7704902512723182
28_pendigits,0.9107872566317607
