,SVMDEPTH
wine,0.9663865546218487
glass,0.8065040650406504
vertebral,0.4601587301587302
vowels,0.7797724039829302
pima,0.6725149253731344
breastw,0.9862508952467112
lympho,0.8720657276995305
thyroid,0.9851555033362854
annthyroid,0.8901465989295558
pendigits,0.829243142916065
cardio,0.7820155863773688
