,PARALLELMLPDEPTH
45_wine,0.3310924369747899
14_glass,0.7170731707317073
21_Lymphography,0.9741784037558685
40_vowels,0.8771408250355619
29_Pima,0.5633880597014925
4_breastw,0.9513362735120057
38_thyroid,0.7055066974136849
2_annthyroid,0.5063205758778124
28_pendigits,0.9341244471941523
