,OCSVM
45_wine,0.8529411764705882
14_glass,0.5658536585365854
21_Lymphography,0.9178403755868545
40_vowels,0.6863869132290186
29_Pima,0.5985820895522388
4_breastw,0.408600022616759
38_thyroid,0.9143496801082576
2_annthyroid,0.6616608290042487
28_pendigits,0.8612676916966461
