,LOF
45_wine,0.9983193277310924
14_glass,0.8661246612466125
21_Lymphography,0.9847417840375586
40_vowels,0.9467425320056899
29_Pima,0.5850373134328358
4_breastw,0.4643786045459686
38_thyroid,0.8870602401891585
2_annthyroid,0.7385960506162976
28_pendigits,0.543663069132238
